"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.840,0.48,-1.05,-0.41,0.840,0.67,-0.99,-0.38,0.840,0.63,-1.09,-0.21,0.840,0.82,-1.01,-0.18,0.840,0.34,-1.13,-0.12,0.840,0.86,-0.95,0.00,0.840,0.96,-0.93,-0.59,0.840,0.80,-1.02,0.25,0.840,0.92,-0.91,5.88,0.840,0.81,-0.94,0.06
0.860,0.46,-1.06,-0.27,0.860,0.65,-0.99,-0.33,0.860,0.61,-1.10,-0.15,0.860,0.80,-1.02,-0.72,0.860,0.32,-1.13,-0.11,0.860,0.84,-0.95,0.07,0.860,0.95,-0.95,-0.53,0.860,0.78,-1.00,0.86,0.860,0.90,-0.64,2.33,0.860,0.80,-0.95,-0.63
0.880,0.44,-1.06,0.01,0.880,0.63,-1.00,-0.27,0.880,0.59,-1.10,-0.13,0.880,0.77,-1.05,-0.96,0.880,0.30,-1.14,-0.10,0.880,0.82,-0.95,0.07,0.880,0.93,-0.96,-0.28,0.880,0.76,-0.95,0.29,0.880,0.89,-0.64,-6.53,0.880,0.78,-0.98,-0.75
0.900,0.41,-1.05,0.17,0.900,0.61,-1.00,-0.25,0.900,0.57,-1.10,-0.17,0.900,0.75,-1.07,-0.77,0.900,0.27,-1.14,-0.10,0.900,0.80,-0.94,-0.04,0.900,0.91,-0.96,0.19,0.900,0.74,-0.97,-1.09,0.900,0.89,-0.99,-11.93,0.900,0.76,-0.99,-0.13
0.920,0.39,-1.05,-0.13,0.920,0.59,-1.01,-0.30,0.920,0.55,-1.10,-0.20,0.920,0.73,-1.08,-0.41,0.920,0.25,-1.14,-0.11,0.920,0.78,-0.95,-0.24,0.920,0.89,-0.96,0.86,0.920,0.72,-1.02,-1.99,0.920,0.85,-1.34,-7.23,0.920,0.74,-0.98,0.56
0.940,0.37,-1.05,-0.72,0.940,0.57,-1.02,-0.37,0.940,0.52,-1.11,-0.22,0.940,0.71,-1.09,-0.15,0.940,0.23,-1.14,-0.11,0.940,0.77,-0.95,-0.49,0.940,0.87,-0.93,1.90,0.940,0.70,-1.07,-1.48,0.940,0.82,-1.36,1.17,0.940,0.72,-0.96,0.61
0.960,0.35,-1.08,-1.01,0.960,0.55,-1.02,-0.41,0.960,0.50,-1.11,-0.22,0.960,0.69,-1.08,-0.07,0.960,0.21,-1.15,0.64,0.960,0.75,-0.97,-0.67,0.960,0.85,-0.89,2.28,0.960,0.68,-1.09,-0.24,0.960,0.80,-1.13,5.07,0.960,0.70,-0.95,-0.10
0.980,0.33,-1.11,-0.57,0.980,0.53,-1.03,-0.38,0.980,0.48,-1.12,-0.23,0.980,0.67,-1.08,-0.20,0.980,0.18,-1.15,3.58,0.980,0.73,-0.98,-0.68,0.980,0.83,-0.80,0.56,0.980,0.66,-1.07,0.72,0.980,0.78,-1.06,3.69,0.980,0.68,-0.96,-1.00
1.000,0.31,-1.11,0.32,1.000,0.51,-1.04,-0.30,1.000,0.46,-1.12,-0.25,1.000,0.64,-1.09,-0.34,1.000,0.16,-1.06,8.84,1.000,0.71,-1.00,-0.50,1.000,0.82,-0.81,-2.32,1.000,0.63,-1.05,0.79,1.000,0.76,-1.04,1.38,1.000,0.66,-0.99,-1.39
1.020,0.28,-1.09,0.87,1.020,0.49,-1.04,-0.19,1.020,0.43,-1.13,-0.28,1.020,0.62,-1.10,-0.43,1.020,0.14,-0.80,13.63,1.020,0.69,-1.00,-0.30,1.020,0.81,-0.94,-3.68,1.020,0.61,-1.03,0.09,1.020,0.74,-1.02,0.50,1.020,0.64,-1.03,-0.90
